ID,position_1,position_2,position_3,amplitude,sigma,labels,snpA_ID,snpA_positions_1,snpA_positions_2,snpA_positions_3,snpA_amplitude,snpA_sigma,snpB_ID,snpB_positions_1,snpB_positions_2,snpB_positions_3,snpB_amplitude,snpB_sigma,cellID
106,230.050413439521,223.581653467629,0.807692307692308,0.00340008196468516,1.02889027420626,3-color,239,230.815233043765,224.142599027907,0.673076923076923,0.00205737605077641,0.985532291305169,474,231.801802011707,224.133220112976,0.673076923076923,0.00500284177449618,1.06420105814882,1
107,346.003696739346,210.815686975418,0.538461538461538,0.00345864949319041,0.99618440605364,ALLELE 2,0,0,0,0,0,0,453,347.356426148586,210.928221821902,0.538461538461538,0.00368192487822667,1.0186421325314,1
108,340.946889135445,159.828358924072,0.538461538461538,0.00335951878065478,0.975276963873011,ALLELE 2,0,0,0,0,0,0,117,342.470222307261,160.363160337087,0.403846153846154,0.00202514000799883,1.17668304673388,1
109,273.479231121037,213.396587025323,1.07692307692308,0.00404331170595204,1.02455582741477,ALLELE 2,0,0,0,0,0,0,311,274.85948758894,213.549713345298,1.07692307692308,0.00221074080662768,1.02901946666707,1
110,318.734940166258,112.7059974235,0.538461538461538,0.00388272235687902,0.97175285106489,ALLELE 1,403,319.402935737607,113.456137949879,0.538461538461538,0.00489458143622597,0.993123654980626,0,0,0,0,0,0,1
111,318.347776085368,97.1264467656575,0.538461538461538,0.00339698961085914,1.1088128401778,ALLELE 2,0,0,0,0,0,0,451,320.277494415619,97.3264157085918,0.538461538461538,0.0036256149135735,1.30062788951617,1
112,296.41925208484,150.999209573488,0.673076923076923,0.00380455629484266,1.04555191677891,3-color,363,296.9593725773,152.09612006632,0.673076923076923,0.0028674962758434,0.984976039665889,241,297.925937699874,151.535766404109,0.538461538461538,0.00215697533501391,0.878958867446093,1
113,274.25197342685,216.935076688974,0.807692307692308,0.00366511419534227,1.03777522776043,ALLELE 2,0,0,0,0,0,0,414,275.668195428887,217.286082344007,0.807692307692308,0.00317247075643013,1.07961717537814,1
114,331.585438646634,241.360359976249,0.942307692307692,0.00311065660489825,1.54336186402808,undetec,0,0,0,0,0,0,0,0,0,0,0,0,1
115,372.714180511786,194.406807419318,0.538461538461538,0.00407940607721194,0.978420191152362,ALLELE 2,0,0,0,0,0,0,52,374.065852412419,195.122481142453,0.403846153846154,0.00163552161311971,1.08778054171495,1
116,333.835442429928,97.4957849679681,0.403846153846154,0.00398725682884517,0.997086868581001,undetec,0,0,0,0,0,0,0,0,0,0,0,0,1
117,354.164718486414,201.73362893199,0.538461538461538,0.0038038986439021,0.988265242823766,3-color,404,354.935543984299,202.477943732532,0.538461538461538,0.00449546185442443,0.985544266768271,287,355.745514334415,201.934605690526,0.538461538461538,0.00206662162195466,0.993460547623578,1
118,261.401660309617,202.436335311498,0.538461538461538,0.00446042862438005,0.975199823704123,3-color,266,262.004638553223,203.300189792807,0.673076923076923,0.00214080120974466,0.991784936459763,250,263.149709513216,202.80561087708,0.673076923076923,0.00197551614975706,0.963256162560542,1
119,290.720913235,162.447806526279,0.538461538461538,0.00420446972909875,0.9907970824205,3-color,405,291.789450002652,163.413818882416,0.538461538461538,0.00479056647391256,1.00298159128991,254,292.384636927256,163.071309218066,0.403846153846154,0.00211036897001312,1.05909095494698,1
120,315.44977530986,97.2427457924249,0.403846153846154,0.00391105426942347,1.15701570130221,ALLELE 1,126,315.897048332138,98.0198302680402,0.403846153846154,0.00192370229324019,0.937332620013408,0,0,0,0,0,0,1
121,304.554485221117,151.902352679489,0.673076923076923,0.00380219959712282,0.906691878334427,ALLELE 1,285,304.9109414253,152.979733683278,0.538461538461538,0.00194440572415354,0.922647510119022,0,0,0,0,0,0,1
122,420.658561705326,261.022831610555,0.807692307692308,0.00366492719733812,0.948651682984016,ALLELE 1,350,421.427121466354,261.892586331983,0.807692307692308,0.00306021110660919,0.928759704408848,0,0,0,0,0,0,1
123,399.530724515901,244.647651355966,0.807692307692308,0.00376539751342015,1.02037346973215,ALLELE 2,0,0,0,0,0,0,461,400.828787524969,244.70450319264,0.807692307692308,0.00440124499651155,1.10948944346493,1
124,360.843625722378,80.8781527420641,0.807692307692308,0.00369395464637508,0.942879039646134,ALLELE 1,272,361.436013626822,82.1672725762747,0.807692307692308,0.00191049525699119,1.0269205203874,0,0,0,0,0,0,1
125,320.450670180927,199.487974059704,0.538461538461538,0.0033525358566979,1.5906641665333,ALLELE 2,0,0,0,0,0,0,471,320.838471974448,199.202138918978,0.538461538461538,0.00528811082402859,1.29295453750552,1
126,303.427945024724,138.485466380834,0.538461538461538,0.00518212607400114,0.820736846989182,ALLELE 2,0,0,0,0,0,0,458,304.726326782168,139.064778028864,0.538461538461538,0.00415842441285858,1.00996019920296,1
127,302.604446353807,203.769190201265,0.538461538461538,0.00379157815450659,1.12296904903013,ALLELE 2,0,0,0,0,0,0,470,304.419607903063,204.581715742002,0.538461538461538,0.00544388600194358,1.13956791291739,1
128,297.543783776661,228.877366888006,1.21153846153846,0.00397048925401302,0.999885533799834,ALLELE 1,413,298.340106367902,229.955082751999,1.21153846153846,0.00470356251009711,1.04013106467172,0,0,0,0,0,0,1
129,352.69117369228,185.077265673387,0.538461538461538,0.00374356048198387,1.15568246673836,3-color,351,353.414640439022,186.104307607264,0.538461538461538,0.00234470830724688,1.06071282018102,305,353.17429584846,185.303547657645,0.403846153846154,0.00215795768290497,1.23715092171359,1
130,291.64165443709,225.21418481552,1.07692307692308,0.00417729508964288,0.945266180045588,undetec,0,0,0,0,0,0,0,0,0,0,0,0,1
131,344.587739970083,107.363409123938,0.403846153846154,0.00468155250643168,0.946879627199628,3-color,155,345.042316353217,108.284973757201,0.403846153846154,0.00161765857633242,0.936877461373304,237,345.731973503688,108.28847174906,0.538461538461538,0.00210715586081118,0.884983207349239,1
132,425.457600363288,152.262650300456,1.07692307692308,0.00505211368217588,1.60855423110307,3-color,419,426.225575727472,153.457198112358,1.07692307692308,0.00807384167771407,1.58797710289106,483,426.539576665531,152.944467949955,1.07692307692308,0.0140394478512786,1.50274166737914,1
133,401.174782230267,246.410256302138,0.673076923076923,0.00427467430690514,1.00645542106058,ALLELE 1,216,401.777082423004,247.268307930612,0.673076923076923,0.00187120940931288,0.933117548308639,0,0,0,0,0,0,1
